codingsfilename TN5 FP5 FN5 TP5 A5 B5 UN5 TN3 FP3 FN3 TP3 A3 B3 code 
./models/lengths_1000-1000_100-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 46 17 0.0 0.7301587301587301 hard_length_3
./models/lengths_1000-1000_105-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 48 15 0.0 0.7619047619047619 hard_length_3
./models/lengths_1000-1000_110-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 49 14 0.0 0.7777777777777778 hard_length_3
./models/lengths_1000-1000_115-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 50 13 0.0 0.7936507936507936 hard_length_3
./models/lengths_1000-1000_120-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 50 13 0.0 0.7936507936507936 hard_length_3
./models/lengths_1000-1000_125-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 50 13 0.0 0.7936507936507936 hard_length_3
./models/lengths_1000-1000_130-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 51 12 0.0 0.8095238095238095 hard_length_3
./models/lengths_1000-1000_135-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 51 12 0.0 0.8095238095238095 hard_length_3
./models/lengths_1000-1000_140-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 54 9 0.0 0.8571428571428571 hard_length_3
./models/lengths_1000-1000_145-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 56 7 0.0 0.8888888888888888 hard_length_3
./models/lengths_1000-1000_150-1000.txt 1062 0 72 0 0.0 1.0 0 1071 0 56 7 0.0 0.8888888888888888 hard_length_3
./models/lengths_5-1000_1000-1000.txt 840 219 1 74 0.20679886685552407 0.013333333333333334 26 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_10-1000_1000-1000.txt 1001 56 11 66 0.052980132450331126 0.14285714285714285 14 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_11-1000_1000-1000.txt 1019 38 13 64 0.03595080416272469 0.16883116883116883 14 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_12-1000_1000-1000.txt 1037 20 13 64 0.01892147587511826 0.16883116883116883 11 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_13-1000_1000-1000.txt 1044 13 14 63 0.01229895931882687 0.18181818181818182 11 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_14-1000_1000-1000.txt 1047 10 14 63 0.00946073793755913 0.18181818181818182 10 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_15-1000_1000-1000.txt 1049 8 14 63 0.007568590350047304 0.18181818181818182 8 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_16-1000_1000-1000.txt 1053 4 14 63 0.003784295175023652 0.18181818181818182 7 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_17-1000_1000-1000.txt 1053 4 14 63 0.003784295175023652 0.18181818181818182 7 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_18-1000_1000-1000.txt 1053 4 16 61 0.003784295175023652 0.2077922077922078 7 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_19-1000_1000-1000.txt 1054 3 16 61 0.002838221381267739 0.2077922077922078 7 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_20-1000_1000-1000.txt 1054 3 16 61 0.002838221381267739 0.2077922077922078 6 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_21-1000_1000-1000.txt 1054 3 17 60 0.002838221381267739 0.22077922077922077 5 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_22-1000_1000-1000.txt 1055 2 18 59 0.001892147587511826 0.23376623376623376 5 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_23-1000_1000-1000.txt 1055 2 18 59 0.001892147587511826 0.23376623376623376 5 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_24-1000_1000-1000.txt 1055 2 18 59 0.001892147587511826 0.23376623376623376 4 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_25-1000_1000-1000.txt 1055 2 18 59 0.001892147587511826 0.23376623376623376 4 1072 0 62 0 0.0 1.0 hard_length_5
./models/lengths_30-1000_1000-1000.txt 1056 0 23 55 0.0 0.2948717948717949 1 1072 0 62 0 0.0 1.0 hard_length_5
